rse_licensee,rse_name,mysuper_product_name,lifecycle_stage_name,single_strategy_lifecycle_indicator,rse_net_assets_000,proportion_of_total_assets_in_mysuper,rse_total_accounts,strategic_growth_asset_allocation,5_year_net_investment_return_nir_p_a,5_year_nir_relative_to_simple_reference_portfolio_p_a,5_year_nir_relative_to_listed_saa_benchmark_portfolio_p_a,5_year_net_return_50_000_rep_member_p_a,3_year_net_investment_return_nir_p_a,3_year_nir_relative_to_simple_reference_portfolio_p_a,3_year_nir_relative_to_listed_saa_benchmark_portfolio_p_a,3_year_net_return_50_000_rep_member_p_a,administration_fees_disclosed_10_000_account_balance,administration_fees_disclosed_25_000_account_balance,administration_fees_disclosed_50_000_account_balance,administration_fees_disclosed_100_000_account_balance,administration_fees_disclosed_250_000_account_balance,total_fees_disclosed_10_000_account_balance,total_fees_disclosed_25_000_account_balance,total_fees_disclosed_50_000_account_balance,total_fees_disclosed_100_000_account_balance,total_fees_disclosed_250_000_account_balance,rse_adjusted_total_accounts_growth_rate_3_year_average,rse_net_cash_flow_ratio_3_year_average,rse_net_rollover_ratio_3_year_average
Vicsuper Pty Ltd,Victorian Superannuation Fund,Growth (MySuper),,Single strategy,23431415,0.54,248032,0.71,0.0823,0.0025,0.003,0.0781,0.0946,-0.0054,0.0017,0.0906,0.0097,0.005,0.0035,0.0027,0.0022,0.018,0.0133,0.0118,0.011,0.0105,0.0124,0.0424,0.0089
Vision Super Pty Ltd,Local Authorities Superannuation Fund,Vision MySuper,,Single strategy,10174151,0.54,100287,0.73,0.0823,0.0043,0,0.0789,0.098,0.0021,0.0078,0.0946,0.0092,0.0045,0.003,0.0022,0.0017,0.0162,0.0115,0.01,0.0092,0.0087,-0.0015,0.0069,-0.0038
WA Local Government Superannuation Plan Pty Ltd,WA Local Government Superannuation Plan,My WA Super,,Single strategy,3941720,0.45,56398,0.61,0.0706,-4.00E-04,-0.0044,0.0687,0.0751,-0.0099,-0.0058,0.0732,0.0081,0.0037,0.0023,0.0015,0.0011,0.0161,0.0117,0.0103,0.0095,0.0091,-0.0383,0.0201,-8.00E-04
Westpac Securities Administration Limited,Westpac Mastertrust - Superannuation Division,BT Business MySuper,,Lifecycle,6293890,0.7,193312,,,,,,,,,,,,,,,,,,,,-0.079,-0.0454,-0.0615
Westpac Securities Administration Limited,Westpac Mastertrust - Superannuation Division,BT Business MySuper,MySuper 2000s LifeStage,,,,,0.9,0.0835,-0.0034,-0.0057,0.0767,0.1001,-0.0123,-0.008,0.0943,0.0137,0.0082,0.0063,0.0054,0.0049,0.0205,0.015,0.0131,0.0122,0.0117,,,
Westpac Securities Administration Limited,Westpac Mastertrust - Superannuation Division,BT Business MySuper,MySuper 1990s LifeStage,,,,,0.9,0.0827,-0.0043,-0.0066,0.0759,0.102,-0.0104,-0.0061,0.0962,0.0137,0.0082,0.0063,0.0054,0.0049,0.0205,0.015,0.0131,0.0122,0.0117,,,
Westpac Securities Administration Limited,Westpac Mastertrust - Superannuation Division,BT Business MySuper,MySuper 1980s LifeStage,,,,,0.9,0.0839,-0.003,-0.0053,0.0771,0.1025,-0.0099,-0.0056,0.0967,0.0137,0.0082,0.0063,0.0054,0.0049,0.0205,0.015,0.0131,0.0122,0.0117,,,
Westpac Securities Administration Limited,Westpac Mastertrust - Superannuation Division,BT Business MySuper,MySuper 1970s LifeStage,,,,,0.9,0.0849,-0.0015,-0.0034,0.0781,0.1022,-0.0093,-0.0049,0.0964,0.0137,0.0082,0.0063,0.0054,0.0049,0.0205,0.015,0.0131,0.0122,0.0117,,,
Westpac Securities Administration Limited,Westpac Mastertrust - Superannuation Division,BT Business MySuper,MySuper 1960s LifeStage,,,,,0.63,0.0688,-0.0041,-0.0069,0.062,0.0769,-0.0112,-0.0083,0.0712,0.0137,0.0082,0.0063,0.0054,0.0049,0.0203,0.0148,0.0129,0.012,0.0115,,,
Westpac Securities Administration Limited,Westpac Mastertrust - Superannuation Division,BT Business MySuper,MySuper 1950s LifeStage,,,,,0.36,0.054,-0.0037,-0.0061,0.0472,0.0508,-0.0111,-0.0082,0.045,0.0137,0.0082,0.0063,0.0054,0.0049,0.0201,0.0146,0.0127,0.0118,0.0113,,,
Westpac Securities Administration Limited,Westpac Mastertrust - Superannuation Division,BT Business MySuper,MySuper 1940s LifeStage,,,,,0.28,0.0481,-0.0034,-0.0043,0.0412,0.0424,-0.0094,-0.0058,0.0366,0.0137,0.0082,0.0063,0.0054,0.0049,0.0202,0.0147,0.0128,0.0119,0.0114,,,
